Z_Depth_m,BBox_Area_px2
10.0047,448.24
10.0048,448.24
10.0052,418.47
10.0055,428.51
10.0057,415.74
10.0059,421.69
10.006,425.54
10.0059,406.5
10.0058,437.56
10.0055,400.7
10.0052,401.04
10.005,406.94
10.0047,406.84
10.0064,432.91
9.9912,403.94
9.9363,427.61
9.8505,456.23
9.7259,458.68
9.5539,484.79
9.3339,506.32
9.0644,527.88
8.7664,559.05
8.4328,580.05
8.0459,592.3
7.6433,639.71
7.2404,725.19
6.8443,793.13
6.4725,967.78
6.1213,1091.7
5.8047,1224.34
5.5068,1339.82
5.232,1553.24
4.98,1601.66
4.7423,1806.88
4.5144,1976.66
4.3025,2137.37
4.0883,2353.84
3.8811,2557.49
3.677,3064.08
3.4729,3220.54
3.276,3579.97
3.0771,4073.43
2.8809,4553.11
2.6868,5051.58
2.4962,6197.63
2.3086,7309.72
2.1386,8102.87
1.9831,9436.63
1.8383,10760.06
1.703,12377.41
1.5836,15768.87
1.4826,19433.79
1.4023,20425.28
1.3671,20599.12
1.3461,24128.63
1.332,23353.22
1.3363,24065.16
1.3472,22786.69
1.3587,22323.04
1.3673,22679.68
1.3613,20923.54
1.3423,22860.12
1.3121,23989.99
1.2747,23445.47
1.24,26465.7
1.2084,27121.5
1.1768,27587.74
1.159,27398.22
1.1506,30342.6
1.1464,31441.72
1.1452,31504.2
1.1464,31719.61
1.1494,32097.36
1.1531,31418.03
1.1569,31665.18
1.1604,31128.51
1.163,31047.08
1.1645,28559.78
1.165,30526.54
1.1645,28791.7
1.1629,31320.93
1.1606,31468.34
1.1577,30585.7
1.1546,30500.99
1.1512,30023.77
1.1477,29578.74
1.1441,30575.2
1.1405,30569.15
1.1372,31827.86
1.1341,30949.0
1.1311,31981.43
1.1284,31395.9
1.1261,31111.76
1.1243,33255.88
1.1229,32292.77
1.1218,31359.1
1.1209,32046.03
1.1203,32895.49
1.1195,32155.3
1.1206,30457.74
1.1217,33023.74
1.1226,31312.32
1.1235,32753.46
1.1245,30389.75
1.1255,31549.08
1.1263,31955.62
1.1269,30431.71
1.1273,31192.38
1.1274,31588.41
1.1274,32748.23
1.1273,30711.56
1.1272,31623.17
1.127,31264.17
1.1269,32136.29
1.1265,31147.41
1.1256,32380.77
1.1244,30728.11
1.1228,31845.87
1.1209,30177.17
1.1188,30379.67
1.1168,31926.72
1.1149,32504.7
1.1134,31460.91
1.1124,31554.88
1.1121,32114.18
1.1123,30947.38
1.113,31987.28
0.1183,33517.63
0.1712,33938.8
0.2773,34361.1
0.6651,8440.85
0.8366,28526.86
0.887,61068.27
0.9256,65158.32
0.968,37104.65
1.0703,39409.51
1.2336,31798.79
1.4408,23155.22
1.6824,17517.86
1.9277,13539.4
2.144,10274.62
2.2867,6595.15
2.3568,5610.5
2.3714,5547.97
2.3426,5771.29
2.2538,5757.95
2.1198,6715.38
1.9657,7275.96
1.7943,8558.59
1.6112,11192.5
1.4181,15735.34
1.231,21912.11
1.0711,26400.53
0.9561,38084.55
0.8904,45083.4
0.8794,45060.27
0.9282,34229.76
1.0171,44719.17
1.1074,40808.63
1.2083,34413.67
1.3078,28369.02
1.3671,25023.95
1.3741,24205.36
1.3309,25231.63
1.2436,26816.05
1.1276,32642.28
0.9859,34454.28
0.853,41410.19
0.7397,63036.41
0.6631,50154.02
0.6407,39987.89
0.6468,41632.72
0.6744,43850.8
0.7144,39344.14
0.7841,39209.7
0.8584,39189.93
0.92,39556.93
0.9691,30067.46
1.0166,41210.81
1.0596,43472.44
1.0987,39870.81
1.1475,37351.72
1.1839,34358.15
1.1994,33230.91
1.1954,33832.35
1.1771,32387.07
1.1435,34010.75
1.0956,36299.51
1.0547,38341.02
1.0415,38019.28
1.0457,39394.16
1.0629,38633.88
1.0985,35630.64
1.135,35453.83
1.1661,33261.87
1.2005,32842.04
1.219,30500.66
1.2231,29925.36
1.2204,29403.31
1.2135,28070.18
1.2022,28939.31
1.1876,28601.22
1.1704,31113.35
1.1524,32733.93
1.1339,31914.32
1.1156,34743.63
1.0942,35664.35
1.0847,37368.6
1.0989,35781.39
1.1238,33693.66
1.1468,32688.31
1.159,31778.29
1.1628,29815.0
1.162,29589.8
1.1587,30453.03
1.1528,29949.66
1.1456,33356.54
1.1369,35400.3
1.1283,33135.1
1.1448,32284.55
1.1684,32011.12
1.1913,33945.72
1.2053,31560.19
1.2323,32931.21
1.2601,31477.37
1.2826,29498.87
1.308,22862.81
1.3346,26913.73
1.3631,24138.23
1.3914,22163.54
1.4085,21211.53
1.4105,22377.8
1.3969,22268.05
1.3869,21249.66
1.3878,21068.95
1.3909,19914.99
1.3968,18942.1
1.4009,19836.5
1.4158,19258.75
1.4383,17738.82
1.4662,16884.43
1.4833,16166.13
1.5,15029.79
1.5167,15136.27
1.524,15111.64
1.5311,14699.15
1.5402,14220.96
1.5493,13812.74
1.5581,14362.28
1.5664,13651.01
1.5853,13199.21
1.6044,13538.14
1.62,14005.65
1.6476,11761.46
1.6889,11868.87
1.7251,10775.93
1.7512,10418.9
1.7696,10788.94
1.7836,10454.3
1.7952,9875.26
1.8061,9659.84
1.8161,9622.33
1.828,9744.96
1.8326,9353.34
1.8374,9534.14
1.8469,9478.57
1.865,9632.63
1.8883,8995.9
1.9134,8844.48
1.935,8590.09
1.96,8451.21
1.9924,8251.58
2.021,7753.72
2.0539,7875.02
2.0842,7604.32
2.1167,7215.34
2.1487,7114.37
2.1772,6820.91
2.2051,6932.73
2.2308,6609.4
2.2591,6329.37
2.2848,6248.1
2.3105,6200.37
2.3369,6082.3
2.3655,5895.23
2.3833,6199.15
2.3777,5790.27
2.3393,6210.98
2.2622,6681.7
2.1523,7404.89
2.0225,8615.37
1.874,9207.44
1.7167,10683.82
1.5546,13008.73
1.397,16435.1
1.2673,21208.45
1.1652,26914.88
1.0927,29735.65
1.0623,33390.69
1.0723,35571.99
1.0996,32538.26
1.1677,31533.4
1.2362,25156.28
1.2883,23515.99
1.3168,22289.39
1.3145,21439.38
1.2838,21627.2
1.2266,23747.16
1.1466,26270.85
1.063,33343.5
0.9888,36248.66
0.924,42399.66
0.8862,51179.78
0.8847,51616.73
0.9433,38365.6
1.0365,39883.21
1.1199,33954.27
1.1953,27379.35
1.2494,24402.87
1.2699,25485.19
1.2543,22491.89
1.2128,24627.06
1.1378,30518.69
1.0312,29929.65
0.9291,39459.34
0.8364,39211.07
0.7786,36799.57
0.7476,45010.47
0.7151,64330.6
0.7139,59840.06
0.7584,29691.16
0.8311,38848.5
0.8809,49259.02
0.9175,54024.43
0.9722,49941.15
1.0597,37974.55
1.1453,29157.51
1.1846,27748.6
1.1668,29021.94
1.1059,30788.25
1.0184,36674.01
0.9175,45343.37
0.8105,46528.27
0.735,82958.43
0.688,95788.99
0.6845,109481.21
0.732,57302.36
0.846,75464.41
1.0002,55410.43
1.1732,40143.68
1.3436,31740.25
1.4806,23952.49
1.5753,18597.44
1.6184,16849.26
1.6024,15821.72
1.5271,17945.82
1.3957,21136.52
1.2181,26822.01
1.0234,39141.48
0.8494,61919.32
0.7326,52991.24
0.6891,66029.58
0.7137,78192.57
0.8119,61029.61
0.9876,32709.75
1.1701,33973.98
1.3085,27596.08
1.4297,24736.93
1.5194,19607.62
1.5586,18729.76
1.5421,18185.49
1.4683,19091.36
1.3548,15444.52
1.2366,7254.79
1.1219,20049.65
0.9851,41179.58
0.8427,49944.42
0.7283,21791.95
0.6855,9172.83
0.7307,276.83
0.7973,34166.44
0.8569,50957.32
0.9285,42558.1
1.0277,44931.55
1.1529,32690.76
1.3003,22770.29
1.4244,18552.12
1.5042,16301.6
1.5363,14156.72
1.5199,15105.98
1.4568,17440.61
1.3633,16317.56
1.2631,19026.5
1.1561,24217.47
1.0549,33758.7
0.9834,38889.76
0.9512,45873.5
0.968,45243.82
1.0556,41935.86
1.1937,32769.57
1.3376,24251.8
1.4677,20752.12
1.5677,16762.67
1.6282,14100.82
1.6431,13679.0
1.6147,13655.27
1.5458,15221.69
1.4537,16739.97
1.359,19925.68
1.2689,22637.76
1.2007,26900.89
1.1548,30903.07
1.162,23157.21
1.2069,27961.97
1.2678,28990.93
1.343,24139.75
1.432,22932.56
1.5175,21032.18
1.5805,16867.5
1.6113,16153.61
1.6053,15468.85
1.5652,17699.53
1.4982,18941.49
1.4313,19652.34
1.3731,24246.42
1.3088,25838.08
1.2573,30085.14
1.2403,28062.83
1.2624,30604.03
1.3076,21234.41
1.3681,24797.13
1.4441,21161.33
1.5184,19582.88
1.5824,17699.75
1.6169,16716.69
1.6279,15926.82
1.6144,17270.09
1.5813,16659.21
1.5414,18478.79
1.4906,19364.09
1.4447,20170.07
1.4047,22754.43
1.3747,23425.69
1.3606,22672.6
1.3603,23439.36
1.3669,24211.68
1.3814,22561.8
1.3918,23923.17
1.395,23373.04
1.4049,22643.36
1.4169,21970.74
1.4225,21941.83
1.4176,21489.96
1.4129,22705.73
1.4097,21679.87
1.4074,21614.5
1.401,22045.26
1.3961,21689.47
1.3986,22975.46
1.4008,23069.97
1.411,22642.49
1.4227,21210.0
1.4312,20842.77
1.4332,20799.18
1.4427,21281.73
1.4521,19006.35
1.4577,19285.54
1.4619,19034.3
1.446,20675.87
1.4185,19257.02
1.3926,20260.63
1.3616,23274.2
1.3332,21431.04
1.3154,21748.36
1.3004,22799.06
1.2931,23287.64
1.2962,23394.82
1.3077,23366.39
1.3214,24631.08
1.3302,22964.27
1.3468,24222.7
1.3632,24076.12
1.377,22634.52
1.4019,22323.26
1.4199,21334.45
1.4205,20751.45
1.4122,21165.66
1.4034,20516.74
1.3961,21352.13
1.3804,21708.9
1.3684,22414.86
1.3579,23333.21
1.3511,23692.68
1.3527,24284.32
1.3572,23246.74
1.3639,22941.22
1.3697,22728.73
1.3699,22808.53
1.3696,23017.12
1.3695,22329.68
1.3706,22022.58
1.368,22934.21
1.3609,23658.86
1.3562,23233.57
1.3549,23144.32
1.3521,23782.01
1.3565,23100.04
1.3611,23704.43
1.3656,23736.05
1.375,23627.3
1.3879,23113.93
1.3973,22918.32
1.4045,22093.96
1.41,22061.96
1.4064,22123.21
1.4014,22528.26
1.3996,22138.45
1.3935,22946.18
1.3843,22603.8
1.3805,21918.62
1.3737,22632.41
1.3666,22831.58
1.3583,23126.06
1.3508,23135.28
1.3427,23569.39
1.3338,24713.35
1.332,24808.34
1.3368,24891.13
1.3454,23185.43
1.3539,21971.84
1.3607,22686.6
1.3606,22938.28
1.3589,22687.24
1.3553,23655.74
1.3551,23650.24
1.3575,22828.09
1.3605,22608.93
1.3598,22056.86
1.3563,23496.26
1.3453,22936.33
1.346,22986.37
1.3447,23171.56
1.3398,23634.76
1.3386,23996.09
1.3402,23602.97
1.3438,23654.38
1.3458,23455.14
1.35,23542.98
1.3533,22919.45
1.3557,22872.56
1.3508,22892.2
1.3442,23250.62
1.3402,23672.02
1.3378,23150.45
1.3332,23708.2
1.3271,22849.57
1.3205,23707.25
1.3148,23640.61
1.3156,23526.97
1.3206,23861.94
1.3243,23367.52
1.3299,22173.68
1.3329,22485.11
1.3307,22027.36
1.3265,22079.06
1.3209,22509.28
1.3141,22383.09
1.3066,22979.36
1.3013,23288.73
1.2979,22782.43
1.2968,22332.6
1.2952,22481.65
1.2913,22160.04
1.2885,22180.04
1.2854,21997.89
1.2815,21823.84
1.2758,21858.56
1.271,21027.56
1.2686,22272.35
1.2617,22253.81
1.2566,22724.64
1.2483,21183.89
1.2532,22313.5
1.2505,24976.57
1.244,23247.31
1.2535,21589.89
1.267,22029.04
1.2806,21462.59
1.2871,20987.14
1.2931,19063.73
1.2909,19987.69
1.281,20671.3
1.283,20596.84
1.2911,20665.82
1.2992,19989.44
1.3095,21091.98
1.3208,22496.43
1.3404,20548.85
1.3668,20262.28
1.3878,16631.4
1.4003,19062.83
1.4007,19094.98
1.3965,18947.04
1.3951,20364.44
1.3955,18344.78
1.3987,18748.3
1.3909,17346.98
1.3828,20182.29
1.3747,19497.23
1.3731,21937.96
1.3845,19121.8
1.4132,19273.56
1.4394,17403.27
1.4605,17972.76
1.4778,18636.24
1.4961,17256.88
1.5268,17998.07
1.552,15608.57
1.5716,16198.16
1.578,17120.11
1.5746,15011.0
1.5685,16026.51
1.5576,16712.21
1.5377,17135.74
1.5208,18967.07
1.5122,18224.84
1.5217,18090.39
1.5344,18986.75
1.5457,19699.86
1.5762,16978.74
1.6229,16255.19
1.6567,17233.59
1.6852,14497.27
1.7213,14239.7
1.7429,14585.1
1.7572,13787.93
1.7628,13795.88
1.7489,14424.45
1.7302,12877.76
1.6966,16136.98
1.6418,15812.33
1.5912,16601.13
1.5479,19252.5
1.5008,17828.14
1.4678,18340.82
1.4358,22852.83
1.4063,25086.21
1.3899,25303.87
1.4019,23664.9
1.4313,22162.82
1.4648,23727.87
1.4945,23587.41
1.5288,20862.52
1.5794,18460.35
1.6253,16527.09
1.6504,16687.35
1.6519,16551.73
1.6405,16144.08
1.616,16547.55
1.575,16632.44
1.5217,18282.25
1.4667,18900.97
1.4029,18122.16
1.3403,20509.96
1.2867,23498.39
1.2513,24688.08
1.2285,26072.23
1.2318,28259.93
1.2482,26112.62
1.2983,26471.41
1.3461,22222.63
1.3863,21411.37
1.4236,20157.7
1.4465,17926.9
1.4512,17780.35
1.431,17294.42
1.3999,18566.72
1.3563,20031.81
1.3283,21234.39
1.3251,21115.86
1.3399,22971.2
1.3553,22398.64
1.3773,23906.54
1.3986,22671.18
1.4355,20357.55
1.464,20945.65
1.4748,18578.79
1.4728,21325.91
1.4522,20792.42
1.4339,21038.67
1.4174,20264.92
1.3962,23688.75
1.3681,23129.8
1.348,24343.82
1.3349,24637.34
1.3286,26295.55
1.3365,23989.19
1.3559,25202.6
1.3764,25652.14
1.4012,24730.6
1.4341,23166.46
1.4668,24789.66
1.497,22013.77
1.5288,21207.59
1.5609,19322.76
1.5928,18970.01
1.6214,18102.63
1.635,15911.78
1.6341,15691.95
1.6083,16620.51
1.5632,16716.13
1.5117,18805.65
1.4535,20609.74
1.3993,21512.02
1.3609,23552.56
1.3307,25749.35
1.3191,25397.58
1.328,26702.22
1.3388,26049.0
1.3856,23615.69
1.4431,22021.55
1.48,19761.75
1.5022,19372.25
1.5066,18152.44
1.4989,18188.1
1.476,20001.86
1.4438,19760.49
1.4288,19462.6
1.4187,18113.77
1.4128,20253.47
1.4229,21621.18
1.4392,20804.94
1.4669,20129.03
1.4957,18653.91
1.5186,17999.02
1.5246,17503.38
1.5145,17184.48
1.4895,17952.3
1.4536,18898.38
1.4127,19556.24
1.3684,21775.33
1.3285,22602.72
1.298,24512.56
1.2842,25060.3
1.2881,25739.51
1.2994,25435.43
1.3175,25578.33
1.3394,23639.48
1.3706,22685.57
1.3995,21915.39
1.4188,21610.69
